RANK_ID;PLAYER;TEAM;AGE;GP;W;L;MIN;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS
74;Jimmy Butler;MIA;35;18;11;7;31.9;117.5;111.5;6.0;23.2;3.27;23.2;7.4;9.0;8.2;7.1;57.3;64.4;20.8;97.42;14.0;1171
75;Lauri Markkanen;UTA;27;19;3;16;31.9;110.6;119.9;-9.3;11.3;1.63;12.3;5.0;14.1;9.6;7.5;54.7;61.2;21.6;100.24;11.6;1265
76;Nikola Vu?evi?;CHI;34;25;10;15;31.7;115.0;118.7;-3.6;15.5;1.80;16.0;6.2;23.3;15.0;8.9;66.4;68.6;22.4;104.22;14.8;1721
77;Keyonte George;UTA;21;23;4;19;31.5;111.3;124.2;-12.9;28.0;1.77;24.1;1.7;8.9;5.3;13.6;49.2;53.2;24.0;99.24;8.3;1505
78;Kelly Oubre Jr.;PHI;29;23;7;16;31.5;105.6;110.9;-5.3;7.2;1.10;9.7;4.9;13.8;9.1;8.8;50.6;53.2;18.1;99.02;7.7;1492
79;Myles Turner;IND;28;25;11;14;31.5;111.6;114.2;-2.7;7.8;0.67;9.8;4.2;18.6;11.6;14.6;56.2;58.8;21.0;99.71;9.2;1634
80;Dillon Brooks;HOU;28;26;17;9;31.3;111.3;102.0;9.3;7.4;1.64;10.9;3.5;7.4;5.4;6.7;51.0;53.2;16.7;99.06;6.1;1680
81;Alperen Sengun;HOU;22;26;17;9;31.1;112.4;103.4;8.9;26.6;2.25;20.8;9.7;21.7;15.5;9.2;48.5;53.3;25.8;99.22;17.2;1676
82;Zion Williamson;NOP;24;6;2;4;31.1;116.6;120.3;-3.6;28.1;1.45;17.4;8.2;16.2;12.2;12.0;46.2;52.1;33.5;99.16;12.0;385
83;Stephen Curry;GSW;36;20;10;10;30.9;120.2;110.5;9.7;30.0;2.08;23.8;1.6;14.1;7.9;11.4;57.9;62.3;27.8;102.95;15.2;1328
84;Paul George;PHI;34;13;5;8;30.9;98.8;106.5;-7.7;29.0;1.83;21.6;2.2;15.5;8.6;11.8;48.6;52.5;25.4;97.86;12.2;825
85;Anfernee Simons;POR;25;23;6;17;30.8;105.3;115.8;-10.5;24.6;2.02;20.3;0.9;7.4;4.0;10.1;49.6;54.2;24.3;99.01;9.8;1460
86;Jordan Poole;WAS;25;22;3;19;30.8;101.6;118.7;-17.1;27.2;1.45;19.8;0.7;6.6;3.5;13.7;53.5;58.3;27.3;105.17;9.9;1484
87;Ochai Agbaji;TOR;24;26;7;19;30.8;109.9;115.6;-5.8;9.0;2.26;17.0;3.0;9.8;6.5;7.5;63.1;63.7;13.1;100.76;8.1;1680
88;Shaedon Sharpe;POR;21;18;5;13;30.8;106.0;114.9;-9.0;13.2;1.32;12.4;2.2;9.2;5.6;9.4;48.8;53.2;24.1;99.90;8.7;1154
89;Jabari Smith Jr.;HOU;21;26;17;9;30.7;109.4;106.3;3.0;4.5;1.32;8.0;5.0;15.9;10.1;6.1;52.7;56.8;14.8;99.03;9.2;1646
90;Evan Mobley;CLE;23;24;20;4;30.7;119.0;105.0;14.0;12.3;1.23;13.9;7.5;20.9;14.5;11.3;59.4;63.3;22.8;101.82;14.8;1558
91;Jrue Holiday;BOS;34;23;18;5;30.6;115.4;107.8;7.6;18.7;2.68;24.0;3.4;9.2;6.4;9.0;53.2;56.9;17.4;101.20;9.3;1485
92;Darius Garland;CLE;24;25;21;4;30.5;122.4;114.9;7.5;29.7;2.81;25.5;1.6;6.5;4.2;9.1;57.6;61.8;26.2;101.74;12.1;1620
93;Jalen Suggs;ORL;23;27;16;11;30.4;105.9;105.7;0.2;21.4;1.39;17.9;2.1;12.2;6.9;12.8;48.7;53.5;25.2;99.19;10.5;1691
94;Toumani Camara;POR;24;26;8;18;30.4;106.1;113.8;-7.7;9.9;1.32;17.1;6.4;10.0;8.1;13.0;52.2;53.8;13.9;99.77;6.1;1635
95;Jaden Ivey;DET;22;25;10;15;30.3;108.7;113.6;-4.9;21.6;1.39;18.0;4.0;9.0;6.5;13.0;50.3;54.2;25.9;99.34;9.3;1576
96;Kentavious Caldwell-Pope;ORL;31;27;16;11;30.3;110.2;105.4;4.8;8.0;2.24;17.5;1.2;6.0;3.5;7.8;49.2;52.8;11.8;97.13;5.5;1655
97;Jaden McDaniels;MIN;24;25;14;11;30.2;108.3;107.2;1.1;8.8;1.59;13.8;4.2;9.6;6.9;8.7;51.5;53.2;15.4;97.93;6.7;1534
98;Deandre Ayton;POR;26;17;4;13;30.2;105.3;117.1;-11.9;6.8;0.68;8.0;8.6;24.0;15.9;11.8;56.7;57.3;19.6;99.67;12.1;1064
99;Isaiah Hartenstein;OKC;26;10;9;1;30.1;112.1;98.3;13.9;19.2;1.78;24.1;10.1;26.7;18.8;13.5;57.9;59.0;17.8;101.49;14.9;634
100;Ayo Dosunmu;CHI;24;26;11;15;30.0;112.3;119.3;-7.0;20.9;3.50;27.8;2.0;9.7;5.9;7.9;57.8;60.6;16.3;105.61;8.9;1717
101;Grant Williams;CHA;26;16;6;10;29.9;114.9;113.3;1.6;10.7;1.32;18.0;3.5;13.4;8.3;13.6;54.9;59.6;14.6;99.95;7.6;995
102;Jarrett Allen;CLE;26;26;22;4;29.9;120.1;113.5;6.6;7.9;1.74;14.6;7.9;26.1;17.3;8.4;68.8;71.2;14.9;102.42;14.2;1662
103;Miles Bridges;CHA;26;12;4;8;29.7;110.8;119.1;-8.3;15.9;2.47;16.0;2.9;20.1;11.2;6.5;48.8;53.3;22.8;100.50;11.8;741
104;Julian Champagnie;SAS;23;26;13;13;29.6;113.8;113.3;0.5;7.0;1.41;11.0;2.9;13.5;8.3;7.8;55.6;58.5;16.8;100.43;8.5;1618
105;Luguentz Dort;OKC;25;25;20;5;29.4;117.1;104.9;12.2;7.7;3.21;16.0;4.8;10.3;7.6;5.0;54.5;57.0;13.5;101.74;7.1;1552
106;Walker Kessler;UTA;23;18;4;14;29.4;108.8;118.9;-10.1;8.0;1.04;14.1;13.3;21.5;17.6;13.5;73.1;72.3;13.1;99.56;13.1;1095
107;Joel Embiid;PHI;30;6;1;5;29.3;93.8;101.9;-8.2;26.7;1.15;14.6;5.1;20.2;12.8;12.7;43.2;53.8;33.7;99.96;14.8;368
108;Dorian Finney-Smith;BKN;31;17;6;11;29.2;117.8;113.7;4.1;8.2;1.81;15.1;6.2;9.5;7.9;8.3;63.1;63.9;14.6;97.82;7.2;1009
109;Aaron Gordon;DEN;29;12;7;5;29.1;120.6;110.3;10.3;15.1;2.28;21.8;6.1;13.8;10.1;9.6;61.0;65.9;16.9;102.89;11.5;753
110;John Collins;UTA;27;23;5;18;29.1;114.1;117.7;-3.6;14.9;1.13;14.1;8.1;19.5;14.0;12.4;59.9;64.6;23.1;100.18;14.1;1401
111;Caleb Martin;PHI;29;20;6;14;29.1;100.8;112.0;-11.2;12.3;1.25;17.6;4.3;11.9;7.9;14.1;45.6;50.1;15.6;97.69;6.7;1187
112;Carlton Carrington;WAS;19;24;3;21;29.1;98.2;119.4;-21.2;20.0;2.02;26.5;1.0;13.2;6.9;13.1;47.3;49.5;15.3;104.86;6.3;1525
113;Harrison Barnes;SAS;32;26;13;13;29.0;113.3;114.0;-0.6;8.0;2.39;14.8;5.4;8.4;6.9;6.2;59.5;64.1;13.8;99.72;8.2;1568
114;Andrew Wiggins;GSW;29;21;11;10;28.9;112.6;108.4;4.2;12.6;2.13;13.2;4.8;8.8;6.8;6.2;55.7;59.7;22.4;103.15;11.2;1300
115;Malik Monk;SAC;26;19;11;8;28.7;117.7;111.4;6.3;23.2;3.75;24.6;0.7;11.4;5.9;6.6;54.7;58.2;20.8;102.55;11.4;1162
116;Payton Pritchard;BOS;26;26;21;5;28.7;121.9;111.8;10.1;16.9;2.93;19.8;3.9;8.5;6.1;6.7;65.4;67.2;19.6;98.87;11.9;1534
117;Draymond Green;GSW;34;23;13;10;28.6;117.0;110.2;6.8;25.7;2.35;35.5;3.2;16.8;10.2;15.1;54.9;57.2;15.1;101.65;9.2;1398
118;Ja Morant;MEM;25;16;11;5;28.6;117.1;108.0;9.1;41.9;2.18;26.8;2.6;12.2;7.7;12.3;49.4;56.4;31.5;105.98;16.2;1010
119;Terry Rozier;MIA;30;21;11;10;28.4;112.4;114.0;-1.6;15.5;1.94;19.0;2.4;10.8;6.6;9.8;49.1;52.7;19.0;97.84;8.0;1220
120;Desmond Bane;MEM;26;19;12;7;28.3;113.4;107.0;6.4;20.6;2.05;22.6;3.0;15.5;9.5;11.0;51.1;54.3;21.1;105.59;11.3;1185
121;Jaren Jackson Jr.;MEM;25;25;17;8;28.3;114.5;104.6;9.9;7.1;0.65;6.3;4.3;13.9;9.3;9.8;58.0;62.6;26.9;106.48;14.2;1569
122;Chris Paul;SAS;39;26;13;13;28.3;113.1;110.1;3.0;40.9;4.54;45.5;2.0;11.3;6.8;10.0;53.5;57.8;14.9;100.21;12.0;1540
123;Jeremy Sochan;SAS;21;13;5;8;28.2;108.9;110.6;-1.7;15.6;1.35;15.4;10.3;17.2;13.9;11.5;53.8;57.2;21.5;100.13;12.6;765
124;Al Horford;BOS;38;19;15;4;28.0;119.1;109.9;9.2;11.1;2.32;21.8;2.9;15.5;9.2;9.4;61.7;62.7;12.8;99.64;8.8;1106
125;Malik Beasley;DET;28;26;10;16;28.0;109.4;108.5;0.9;10.4;1.75;11.7;2.1;8.5;5.3;6.7;57.3;58.4;20.8;100.89;9.8;1533
126;De'Andre Hunter;ATL;27;16;11;5;27.9;112.8;112.8;0.0;7.2;1.11;7.3;2.0;11.6;6.7;6.6;57.1;62.2;23.1;106.98;10.9;1000
127;Patrick Williams;CHI;23;16;7;9;27.9;107.8;116.0;-8.2;10.8;1.20;16.4;3.5;12.5;8.1;13.7;46.4;50.4;16.8;107.17;6.0;993
128;Josh Green;CHA;24;23;6;17;27.8;107.6;115.1;-7.6;8.7;1.95;17.9;3.2;6.4;4.7;9.2;54.1;55.2;11.8;98.53;4.1;1308
129;Collin Sexton;UTA;25;24;5;19;27.7;113.1;118.1;-5.1;17.6;1.31;16.6;2.7;6.4;4.6;12.6;54.4;60.2;23.9;99.76;9.0;1386
130;Brandon Boston;NOP;23;24;3;21;27.7;107.6;115.0;-7.4;17.9;2.14;19.8;2.4;10.6;6.3;9.3;50.4;54.0;19.6;99.01;9.3;1368
131;Klay Thompson;DAL;34;22;13;9;27.7;119.1;110.3;8.8;8.7;1.74;11.8;2.6;9.5;6.1;6.8;53.6;55.4;20.6;99.94;8.3;1271
132;Corey Kispert;WAS;25;19;2;17;27.6;106.1;118.3;-12.2;7.6;1.33;11.5;1.3;10.4;5.9;8.6;50.8;53.2;16.7;104.33;6.3;1139
133;Kyle Kuzma;WAS;29;12;1;11;27.5;97.0;117.7;-20.7;12.0;0.79;9.3;2.1;17.6;9.4;11.8;46.4;48.7;27.2;105.52;8.2;725
134;Jordan Hawkins;NOP;22;11;3;8;27.4;103.3;116.4;-13.1;7.4;1.00;8.5;1.5;12.1;6.5;8.5;46.0;51.6;20.6;100.81;7.5;634
135;Tim Hardaway Jr.;DET;32;23;8;15;27.3;109.9;119.4;-9.6;7.8;2.33;14.3;0.8;6.8;3.9;6.1;52.2;56.6;14.2;98.21;5.9;1289
136;Josh Giddey;CHI;22;26;11;15;27.2;111.2;115.8;-4.6;34.0;2.56;33.1;4.5;17.5;11.1;12.9;50.8;53.2;21.0;105.71;11.3;1559
137;Stephon Castle;SAS;20;25;12;13;27.2;109.9;112.4;-2.5;21.6;2.02;21.6;2.7;6.5;4.6;10.7;43.3;48.2;21.6;100.44;6.8;1425
138;Davion Mitchell;TOR;26;26;7;19;27.2;108.5;111.6;-3.0;24.4;2.64;36.3;1.8;6.1;4.0;13.7;46.4;48.7;13.4;101.42;5.0;1490
139;Amen Thompson;HOU;21;26;17;9;27.1;110.4;102.9;7.5;10.9;1.11;14.5;7.6;15.2;11.4;13.1;57.6;61.0;17.5;101.45;12.5;1478
140;Alexandre Sarr;WAS;19;22;2;20;26.8;97.7;116.6;-18.9;11.3;1.34;12.9;6.9;14.9;10.7;9.6;44.3;46.6;20.1;105.03;7.2;1289
