,RANK_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
227,223,JT Thor,CHA,21,26,7,19,14.5,108.1,116.6,-8.5,3.8,1.83,10.7,4.7,11.3,7.9,5.8,46.4,46.5,10.1,101.38,4.1,794
228,223,Joel Embiid,PHI,29,26,21,5,34.1,123.2,108.0,15.2,32.1,1.6,16.7,8.1,24.8,16.9,10.4,56.6,65.0,37.8,101.5,22.9,1869
229,223,Malcolm Brogdon,POR,31,26,9,17,27.9,110.3,113.6,-3.2,32.0,4.03,26.5,2.3,10.0,6.0,6.6,52.4,55.5,22.9,99.86,12.7,1511
230,223,Naji Marshall,NOP,25,26,17,9,19.1,116.2,108.7,7.5,15.8,2.07,22.1,5.7,13.7,9.8,10.6,52.6,57.2,17.3,102.61,9.6,1057
231,223,Nick Richards,CHA,26,26,5,21,23.3,105.8,120.0,-14.2,4.6,0.76,9.3,9.5,21.5,15.5,12.2,70.3,73.5,13.0,99.66,11.2,1257
232,223,Seth Curry,DAL,33,26,16,10,13.4,115.1,104.8,10.4,9.4,2.27,16.7,3.3,7.8,5.5,7.3,50.0,53.0,14.7,102.36,6.8,748
233,234,Caleb Houstan,ORL,20,25,12,13,12.7,112.2,113.1,-0.8,4.3,1.25,10.8,3.4,9.0,6.3,8.6,59.6,62.9,11.1,98.92,6.1,655
234,234,Cody Zeller,NOP,31,25,13,12,9.3,112.9,108.1,4.8,14.6,3.38,30.0,11.2,16.9,14.0,8.9,33.3,41.1,11.0,102.86,5.8,497
235,234,Devin Booker,PHX,27,25,15,10,35.9,119.3,115.4,3.9,34.8,2.68,23.9,2.6,11.5,7.3,8.9,53.0,60.0,29.5,99.0,14.8,1858
236,234,Donovan Mitchell,CLE,27,25,13,12,36.1,115.4,110.4,4.9,24.7,2.17,17.7,2.9,11.7,7.4,8.1,52.8,58.3,30.6,100.3,15.4,1889
237,234,Gordon Hayward,CHA,33,25,7,18,31.9,112.2,120.7,-8.5,20.0,2.27,23.3,3.1,11.6,7.3,10.2,50.5,54.4,20.1,100.01,9.5,1666
238,234,Isaac Okoro,CLE,22,25,13,12,25.9,109.3,113.4,-4.1,11.4,2.84,21.4,4.5,7.8,6.1,7.5,58.0,60.9,13.1,98.33,7.4,1316
239,234,Isaiah Jackson,IND,21,25,15,10,14.5,114.7,115.5,-0.9,8.7,1.5,14.0,10.3,20.1,15.0,9.3,67.3,70.0,16.1,106.3,12.2,803
240,234,Jordan Clarkson,UTA,31,25,10,15,30.3,113.2,116.9,-3.7,26.3,1.7,20.8,3.6,8.8,6.1,12.2,46.9,52.1,27.0,101.2,9.7,1595
241,234,Josh Richardson,MIA,30,25,16,9,27.5,111.5,114.4,-2.9,15.1,2.88,22.8,1.6,8.2,4.9,7.9,53.2,56.7,15.2,99.76,7.4,1426
242,234,Kessler Edwards,SAC,23,25,16,9,4.9,95.5,109.7,-14.2,7.5,6.0,14.3,2.3,12.2,7.0,2.4,48.5,48.7,11.8,104.09,5.8,265
243,234,Lauri Markkanen,UTA,26,25,11,14,32.9,116.6,116.1,0.6,7.2,1.27,7.2,6.7,18.1,12.4,5.6,58.8,63.3,24.1,102.32,14.2,1750
244,234,"Marcus Morris Sr,",PHI,34,25,17,8,15.2,114.5,111.1,3.5,7.3,2.11,12.3,2.5,14.8,8.4,5.8,56.3,58.4,14.9,100.43,7.9,791
245,234,Marvin Bagley III,DET,24,25,2,23,18.6,112.0,119.5,-7.4,8.4,0.9,10.2,10.0,15.9,12.9,11.4,59.1,63.5,20.7,101.16,11.2,983
246,234,Max Christie,LAL,20,25,12,13,17.8,106.3,110.3,-4.0,7.5,1.25,14.5,1.2,13.9,7.9,11.6,46.7,49.2,14.0,104.35,5.2,966
247,234,Nic Claxton,BKN,24,25,10,15,27.5,109.4,117.1,-7.6,9.4,2.05,14.6,10.1,23.3,16.4,7.1,62.4,63.2,15.3,100.34,12.9,1429
248,234,Rui Hachimura,LAL,25,25,12,13,23.5,112.3,109.9,2.5,6.5,1.35,9.1,3.4,11.4,7.6,6.7,54.5,57.3,19.4,102.36,8.9,1257
249,234,"T,J, McConnell",IND,31,25,13,12,15.2,116.3,117.3,-1.0,41.9,4.25,37.4,3.4,15.0,9.1,8.8,52.2,55.1,21.4,103.81,15.2,822
